IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
grayso01,Sonny Gray,Sonny,Gray,12768,Sonny Gray,543243,Sonny Gray,1894635,Sonny Gray,grayso01,32082,Sonny Gray,70306,Sonny Gray,"Gray, Sonny",Sonny Gray
horwisp01,Spencer Horwitz,Spencer,Horwitz,sa1115496,Spencer Horwitz,687462,Spencer Horwitz,28837584,Spencer Horwitz,horwisp01,,Spencer Horwitz,144197,Spencer Horwitz,"Horwitz, Spencer",Spencer Horwitz
howarsp01,Spencer Howard,Spencer,Howard,23252,Spencer Howard,675921,Spencer Howard,2837011,Spencer Howard,howarsp01,41072,Spencer Howard,110045,Spencer Howard,"Howard, Spencer",Spencer Howard
kiebosp01,Spencer Kieboom,Spencer,Kieboom,13300,Spencer Kieboom,571851,Spencer Kieboom,2167764,Spencer Kieboom,kiebosp01,33866,Spencer Kieboom,100176,Spencer Kieboom,"Kieboom, Spencer",Spencer Kieboom
pattosp01,Spencer Patton,Spencer,Patton,12361,Spencer Patton,607359,Spencer Patton,2120864,Spencer Patton,pattosp01,,Spencer Patton,69954,Spencer Patton,"Patton, Spencer",Spencer Patton
steersp01,Spencer Steer,Spencer,Steer,26323,Spencer Steer,668715,Spencer Steer,26635167,Spencer Steer,steersp01,,Spencer Steer,137710,Spencer Steer,"Steer, Spencer",Spencer Steer
stridsp01,Spencer Strider,Spencer,Strider,27498,Spencer Strider,675911,Spencer Strider,2837573,Spencer Strider,stridsp01,,Spencer Strider,137960,Spencer Strider,"Strider, Spencer",Spencer Strider
torkesp01,Spencer Torkelson,Spencer,Torkelson,27465,Spencer Torkelson,679529,Spencer Torkelson,3166850,Spencer Torkelson,torkesp01,,,138910,Spencer Torkelson,"Torkelson, Spencer",Spencer Torkelson
turnbsp01,Spencer Turnbull,Spencer,Turnbull,16207,Spencer Turnbull,605513,Spencer Turnbull,2167350,Spencer Turnbull,turnbsp01,33732,Spencer Turnbull,103809,Spencer Turnbull,"Turnbull, Spencer",Spencer Turnbull
watkisp01,Spenser Watkins,Spenser,Watkins,17489,Spenser Watkins,657093,Spenser Watkins,2826563,Spenser Watkins,watkisp01,,Spenser Watkins,104943,Spenser Watkins,"Watkins, Spenser",Spenser Watkins
castrst01,Starlin Castro,Starlin,Castro,4579,Starlin Castro,516770,Starlin Castro,1671044,Starlin Castro,castrst01,30450,Starlin Castro,57278,Starlin Castro,"Castro, Starlin",Starlin Castro
martest01,Starling Marte,Starling,Marte,9241,Starling Marte,516782,Starling Marte,1741213,Starling Marte,martest01,30830,Starling Marte,56034,Starling Marte,"Marte, Starling",Starling Marte
walkest01,Steele Walker,Steele,Walker,22093,Steele Walker,667727,Steele Walker,2932068,Steele Walker,walkest01,,Steele Walker,140258,Steele Walker,"Walker, Steele",Steele Walker
piscost01,Stephen Piscotty,Stephen,Piscotty,13367,Stephen Piscotty,572039,Stephen Piscotty,2044751,Stephen Piscotty,piscost01,32842,Stephen Piscotty,100059,Stephen Piscotty,"Piscotty, Stephen",Stephen Piscotty
strasst01,Stephen Strasburg,Stephen,Strasburg,10131,Stephen Strasburg,544931,Stephen Strasburg,1675980,Stephen Strasburg,strasst01,30373,Stephen Strasburg,61056,Stephen Strasburg,"Strasburg, Stephen",Stephen Strasburg
vogtst01,Stephen Vogt,Stephen,Vogt,5000,Stephen Vogt,519390,Stephen Vogt,1667927,Stephen Vogt,vogtst01,31032,Stephen Vogt,56945,Stephen Vogt,"Vogt, Stephen",Stephen Vogt
