Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Dylan Cease,CHW,10.1001,11.3081,15.0469,4.12671,30.78,30.78,0,0,178.467,767.602,156.901,87.7616,81.8315,25.8976,76.1331,,7.673,200.967,10.1346,3.83934,2.63968,1.306,0.261811,0.099183,0.162628032267094,0.229455,1.30575,0.286702,0.738257,0.379208,,4.29811,2.69018,2.76235,111.26000213623,,,,18525
Yu Darvish,SDP,10.2705,10.3344,15.1799,4.14068,29.16,29.16,0,0,175.039,733.607,163.595,86.1969,80.531,26.6837,46.945,,9.0014,177.261,9.11425,2.41378,3.77593,1.372,0.241629,0.063992,0.177637077867985,0.241411,1.20282,0.289015,0.717987,0.385804,,4.1703,2.66541,2.28467,212.800003051758,,,,13074
Shota Imanaga,CHC,9.3411,8.4981,13.0999,3.83125,25.92,25.92,0,0,147.744,616.628,138.53,67.8592,62.8938,20.3394,39.6732,,5.2765,150.031,9.13929,2.41674,3.78166,1.239,0.243308,0.064339,0.178969010710716,0.242322,1.20616,0.294514,0.736963,0.408613,,3.92648,2.64662,2.82523,999,,,,sa3023346
Cole Ragans,KCR,10.8146,9.9049,16.2393,3.92872,29.16,29.16,0,0,177.372,758.65,160.257,83.7503,77.4273,20.8511,75.0858,,6.601,185.698,9.42244,3.80991,2.47314,1.058,0.244774,0.0989729,0.145800955593586,0.236729,1.32683,0.296346,0.735345,0.418796,,4.071,2.64555,3.43522,110.26000213623,,,,21846
Joe Ryan,MIN,11.1319,10.2357,15.3008,4.05616,30.78,30.78,0,0,178.561,746.804,161.417,85.4639,80.4745,28.5102,47.6745,,7.9475,196.865,9.92258,2.40294,4.12935,1.437,0.26361,0.063838,0.199771821498871,0.233537,1.17098,0.285326,0.730758,0.312312,,4.06019,2.6279,2.82467,82.8600006103516,,,,21390
Braxton Garrett,MIA,10.024,9.9583,14.0224,3.96181,29.16,29.16,0,0,164.391,696.869,162.721,78.6432,72.3653,19.5078,45.654,,9.1569,152.611,8.35504,2.49944,3.34277,1.068,0.218995,0.065513,0.153481915593147,0.253437,1.26755,0.304748,0.716497,0.473843,,3.94128,2.59929,2.79888,181.289993286133,,,,21844
Justin Verlander,HOU,11.3845,9.3333,15.3842,4.21563,29.16,29.16,0,0,177.773,746.944,171.212,88.9644,83.2693,27.9498,46.4435,,6.904,167.594,8.48469,2.35127,3.60856,1.415,0.224373,0.062178,0.162195034325123,0.246847,1.22435,0.287646,0.720855,0.361809,,4.31371,2.54948,2.45561,129.509994506836,,,,8700
Reid Detmers,LAA,10.7413,10.5565,14.4461,4.23824,30.78,30.78,0,0,177.094,755.521,160.557,89.1303,83.3964,26.2099,68.6089,,9.8928,189.831,9.64732,3.48673,2.76686,1.332,0.251259,0.0908101,0.160449005663395,0.237153,1.29404,0.29144,0.727564,0.375062,,4.36502,2.54263,2.78848,231.139999389648,,,,27468
Kyle Bradish,BAL,11.5141,9.987,16.3596,3.86506,30.78,30.78,0,0,181.093,765.075,171.029,84.5581,77.7707,22.4556,57.0746,,7.6561,177.604,8.82658,2.8365,3.11178,1.116,0.232139,0.0746,0.157539077103138,0.244207,1.25959,0.296977,0.729895,0.463093,,3.97791,2.52915,2.82506,87.6900024414063,,,,24586
Bobby Miller,LAD,10.208,7.765,13.0265,4.0225,25.92,25.92,0,0,150.647,637.525,143.784,72.9016,67.3309,19.9189,45.4982,,7.2002,149.614,8.93826,2.71817,3.28834,1.19,0.234679,0.0713669,0.163311868906021,0.245857,1.25646,0.298259,0.721088,0.459199,,4.03709,2.52733,2.33629,999,,,,27483
